skill_name,display_title,trader_question,description,category,stage,difficulty,answer_readiness,core_calls,core_capabilities,example_prompts
birdeye-5-minute-trending-tokens,🔥 5-Min Trending Tokens,What tokens are trading most actively in the last five minutes?,"Scan liquid Solana tokens ranked by five-minute trading volume with practical market-cap, liquidity, holder and activity filters.",Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market trending-5m,"Rank Solana tokens by five-minute on-chain volume.; Show price, market cap, liquidity, holder count, five-minute volume and five-minute trade count for each result.; Filter by market cap, liquidity, holder count, five-minute volume, price change, volume change or trade count before ranking.",Show me the most active Solana tokens in the last 5 minutes.; Find 5-minute trending tokens with at least $25K liquidity and $10K volume.
birdeye-launchpad-trending-tokens,🚀 Launchpad Trending Tokens,What tokens are trending on a launchpad right now?,"Rank tokens by one-hour volume across all supported Solana launchpads or filter to Pump.fun, Moonshot, Raydium LaunchLab or Meteora DBC.",Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market launchpad-trending,"Rank launchpad tokens by one-hour trading volume across all live-tested Solana launchpad sources.; Filter to Pump.fun, Moonshot, Raydium LaunchLab or Meteora DBC using natural launchpad names or canonical source values.; Show launchpad identity, creation time, bonding-curve progress, graduation state and available market fields for each result.",What tokens are trending on Moonshot right now?; Compare trending tokens across all supported Solana launchpads with at least $10K liquidity.
birdeye-launchpad-new-tokens,🛫 Launchpad New Tokens,What new tokens launched on a specific launchpad in the last 24 hours?,"Scan the newest launches across all supported Solana launchpads or filter to Pump.fun, Moonshot, Raydium LaunchLab or Meteora DBC.",Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market launchpad-new,"Find tokens created during the last 24 hours across all live-tested Solana launchpad sources.; Filter to Pump.fun, Moonshot, Raydium LaunchLab or Meteora DBC and sort launches newest first.; Show source, creation time, bonding-curve progress, graduation state and available market fields without creating separate packages for every platform.",Show me new Raydium LaunchLab tokens from the last 24 hours.; What new tokens launched across all supported Solana launchpads today?
birdeye-pumpfun-trending-tokens,🏆 Pump.fun Trending Tokens,What are the hottest Pump.fun tokens right now?,"Rank Pump.fun tokens by one-hour trading volume with configurable liquidity, market-cap, holder and volume filters.",Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market pumpfun-trending,"Rank Pump.fun tokens by one-hour trading volume.; Keep the launchpad fixed to Pump.fun while allowing liquidity, market-cap, holder and activity filters.; Show launchpad identity, bonding-curve status and the market fields available for each result.","What Pump.fun tokens are hottest right now?; Show Pump.fun tokens with at least $10K liquidity, ranked by 1-hour volume."
birdeye-pumpfun-new-tokens,🌱 Pump.fun New Tokens,What Pump.fun tokens were created in the last 24 hours?,"Scan Pump.fun tokens created in the last 24 hours, newest first, with configurable market and activity filters.",Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market pumpfun-new,"Find Pump.fun tokens created during the last 24 hours.; Sort fresh launches newest first and show creation time, progress and current market context.; Filter the list by liquidity, market cap, holders and observed trading activity.",Show me new Pump.fun tokens from the last 24 hours.; Find new Pump.fun tokens that already have at least $5K liquidity.
birdeye-newly-listed-tokens,🐣 Newly Listed Tokens,What tokens were listed most recently?,Return Birdeye's latest indexed Solana token listings so a trader can inspect fresh market arrivals.,Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market new-listings,"Return the latest Solana tokens indexed by Birdeye.; Show listing time and the available token identity and market fields.; Keep result count, pagination and the provider's listing coverage visible.",What tokens were listed most recently on Solana?; Show me the latest 10 Birdeye token listings.
birdeye-near-graduation-tokens,🌗 Near-Graduation Tokens,What launchpad tokens are closest to graduating?,"Find ungraduated launchpad tokens at 80% or more bonding-curve progress, ranked closest to completion.",Discovery,DISCOVER,Intermediate,ATOMIC_TYPED_PATH,market near-graduation,"Find ungraduated launchpad tokens between 80% and 99.9999% bonding-curve progress by default.; Rank candidates closest to graduation and show launchpad, creator, creation time and progress.; Let the trader change the progress band and apply market or activity filters.",Which launchpad tokens are closest to graduating?; Show ungraduated tokens between 90% and 99% bonding-curve progress.
birdeye-recently-migrated-tokens,🎓 Recently Migrated Tokens,What launchpad tokens graduated to a DEX in the last 24 hours?,"Scan launchpad tokens that graduated during the last 24 hours, newest migrations first.",Discovery,DISCOVER,Intermediate,ATOMIC_TYPED_PATH,market migrated,"Find launchpad tokens recorded as graduated during the last 24 hours.; Sort migrations newest first and show launchpad, graduation time and current market context.; Filter by liquidity, market cap, holders or observed activity without changing the graduation requirement.",What tokens migrated to a DEX in the last 24 hours?; Show recently graduated tokens with at least $10K liquidity.
birdeye-migrated-token-screener,🔍 Migrated Token Quality Screener,What recently migrated tokens meet practical liquidity and market-cap thresholds?,Screen recently migrated tokens with default market cap of $50K–$200K and at least $10K indexed liquidity.,Discovery,DISCOVER,Advanced,ATOMIC_TYPED_PATH,market migrated-quality,"Fetch recently graduated tokens and apply a default $50K–$200K market-cap band.; Require at least $10K indexed liquidity by default, then rank the survivors by one-hour volume.; Let the trader override the market-cap and liquidity thresholds while disclosing that unavailable bundle, fresh-wallet and top-10 filters are not applied.",Screen newly migrated tokens between $50K and $200K market cap with at least $10K liquidity.; Find recently graduated tokens above $25K liquidity and tell me exactly which filters were applied.
birdeye-5-minute-volume-surge,📈 5-Min Volume Surge,What liquid tokens have the strongest five-minute volume acceleration?,Rank liquid Solana tokens by five-minute volume growth while filtering out low-volume noise.,Discovery,DISCOVER,Intermediate,ATOMIC_TYPED_PATH,market volume-surge-5m,"Rank liquid Solana tokens by five-minute volume acceleration.; Require at least $10K liquidity and $5K five-minute volume by default to reduce thin-market noise.; Show volume change beside price, liquidity, market cap and activity context.",Which Solana tokens have the biggest 5-minute volume surge?; Show 5-minute volume surges with at least $50K liquidity.
birdeye-5-minute-price-surge,💹 5-Min Price Surge,What liquid tokens are surging most over five minutes?,Rank liquid Solana tokens by five-minute price change with minimum liquidity and volume safeguards.,Discovery,DISCOVER,Intermediate,ATOMIC_TYPED_PATH,market price-surge-5m,"Rank liquid Solana tokens by five-minute price change.; Require at least $10K liquidity and $5K five-minute volume by default.; Show the move together with volume, trade count, holders, market cap and liquidity so the spike can be checked.",Which liquid Solana tokens are pumping hardest over 5 minutes?; Show 5-minute price surges with at least $25K liquidity and $10K volume.
birdeye-5-minute-most-traded,⚡ 5-Min Most-Traded Tokens,What tokens have the most trades in the last five minutes?,Rank liquid Solana tokens by five-minute trade count to surface immediate on-chain attention.,Discovery,DISCOVER,Basic,ATOMIC_TYPED_PATH,market most-traded-5m,"Rank Solana tokens by five-minute trade count.; Filter out tokens below $10K liquidity by default.; Show trade count together with five-minute volume, price change, holders, liquidity and market cap.",What tokens had the most trades in the last 5 minutes?; Show the 10 most-traded tokens with at least $50K liquidity.
birdeye-smart-money-token-radar,🧠 Smart-Money Token Radar,What tokens are attracting the most Birdeye smart-money wallets?,"Rank tokens in Birdeye's smart-money feed by smart-trader participation, market cap or net flow.",Discovery,DISCOVER,Intermediate,ATOMIC_TYPED_PATH,market smart-money,"Query Birdeye's smart-money token feed for 1-day, 7-day or 30-day windows.; Rank by smart-trader count, net flow or market cap and preserve the selected trader-style filter.; Return provider-labeled smart-money observations without presenting them as a buy signal.",What tokens are attracting the most smart-money wallets today?; Show 7-day smart-money tokens ranked by net flow.
birdeye-market-radar,🔥 Curated Hot Token Radar,Which hot Solana tokens are actually worth researching right now?,"Sweep several Birdeye time windows, require minimum market quality, and return only candidates that clear a transparent deterministic score.",Discovery,DISCOVER,Advanced,ATOMIC_TYPED_PATH,market-radar run,"Sweep eligible Solana tokens across 24-hour, 1-hour and 5-minute activity windows, then add Birdeye trending and smart-money confirmation within a five-call cap.; Require observable market cap, liquidity and listing age before scoring, and reapply every hard gate locally so provider filtering is never trusted blindly.; Score candidates with a versioned 100-point method, enforce score and evidence-coverage floors before limiting the output, and never pad a weak market.; Show the complete candidate funnel, component scores, source ranks, near misses, source failures and unperformed token-security checks.","Which hot Solana tokens are actually worth researching right now?; Build me a top-10 hot-token research list, but return fewer if the evidence is weak.; Show a curated Solana radar with at least $250K liquidity and explain why every token made the cut."
birdeye-token-basic-info,🪪 Token Basic Info,"What are this token's identity, price, market cap and valuation?","Resolve a Solana token and return its current identity, price and valuation evidence in one card.",Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,token info,"Resolve a Solana token address to its name, symbol, decimals and metadata.; Return its current indexed price, market cap, FDV, supply, liquidity and holder count when present.; Keep missing fields explicit instead of substituting unsupported bundle, sniper, rat-wallet or KOL counts.","Give me the basic info for this Solana token: <token address>.; What are the price, market cap, liquidity and holder count for <token address>?"
birdeye-token-security-check,🛡️ Token Security Check,What security and authority risks are observable for this token?,"Inspect Birdeye token-security fields and clearly separate observed, missing and unknown conditions.",Token Analysis,RESEARCH,Basic,ATOMIC_TYPED_PATH,token security,"Inspect the token-security response for authority, ownership and other provider-observed risk fields.; Separate affirmative observations, negative observations and missing values.; Return the raw field names needed to verify the conclusion and never turn missing data into a safe verdict.",Check the observable security risks for <token address>.; Are mint or freeze authority risks visible for this Solana token?
